Step,Type,Amount,oldBal,newBal,oldBalDest,newBalDest,isFlaggedFraud,Payment Method,Status,DeviceType,Browser,Geolocation,Hour,Day,Month,IsBusinessHours,NormalizedAmount,AmountPercentage,OriginBalanceChange,DestBalanceChange,IsCommonDevice,IsCommonBrowser
20,4,61.44,16298.56,16237.12,13191.64,13253.08,0,3,1,1,2,4,1,3,3,0,0.0037694269047753,0.3769426904775343,-61.43999999999869,61.44000000000051,1,1
4,5,692.82,11313.2,10620.38,8139.82,8832.64,0,2,1,2,1,2,14,21,5,1,0.0612345548072333,6.123455480723338,-692.8200000000015,692.8199999999997,1,1
25,5,5079.49,15122.99,10043.5,14864.02,19943.51,0,3,2,0,3,1,20,1,5,0,0.3358564770275569,33.585647702755686,-5079.49,5079.489999999998,1,1
30,1,5717.94,13712.12,7994.180000000001,12528.1,6810.160000000001,0,2,1,0,2,3,9,19,4,1,0.4169685673282228,41.69685673282228,-5717.94,-5717.94,1,1
21,3,4867.27,16650.31,21517.58,11401.39,16268.66,0,3,1,0,1,2,11,18,6,1,0.2923055303156328,29.23055303156328,4867.27,4867.27,1,1
26,5,9189.38,7795.21,-1394.1699999999992,15991.94,25181.32,0,2,1,1,1,2,20,3,6,0,1.1786983675401252,117.86983675401252,-9189.38,9189.38,1,1
22,4,945.11,10930.29,9985.18,9.15,954.26,0,2,0,2,3,4,4,2,1,0,0.0864591461757944,8.645914617579443,-945.1100000000006,945.11,1,1
30,1,6397.18,18994.08,12596.9,12959.64,6562.459999999999,0,2,0,1,1,3,0,5,1,0,0.3367808927364349,33.678089273643494,-6397.180000000002,-6397.18,1,1
30,5,2112.92,4635.8,2522.88,10127.56,12240.48,0,0,0,2,3,1,17,12,5,1,0.4556849551414769,45.56849551414769,-2112.92,2112.92,1,1
22,1,7129.77,7555.0,425.2299999999996,2775.35,-4354.42,0,1,2,2,1,1,8,28,3,0,0.9435905240868184,94.35905240868183,-7129.77,-7129.77,1,1
15,2,803.65,19307.94,18504.29,11884.65,12688.3,0,2,0,0,1,1,1,15,7,0,0.0416206171856145,4.162061718561454,-803.6499999999978,803.6499999999996,1,1
18,4,1703.49,7968.22,6264.7300000000005,15528.33,17231.82,0,0,0,1,2,1,6,17,6,0,0.2137586865464876,21.37586865464876,-1703.4899999999998,1703.4899999999998,1,1
15,1,755.15,11896.79,11141.64,2059.84,1304.69,0,1,0,2,3,1,7,12,3,0,0.0634697704363583,6.346977043635834,-755.1500000000015,-755.1500000000001,1,1
4,5,117.41,13326.79,13209.38,7135.14,7252.55,0,3,1,0,3,4,6,26,5,0,0.0088094125132523,0.8809412513252384,-117.41000000000167,117.40999999999984,1,1
16,3,7617.33,18281.73,25899.06,5126.17,12743.5,1,3,1,2,3,0,10,1,7,1,0.416640731444374,41.6640731444374,7617.330000000002,7617.33,1,1
2,1,5423.14,4193.83,-1229.3100000000004,11484.37,6061.2300000000005,0,0,0,0,2,4,6,17,6,0,1.292815203476661,129.28152034766606,-5423.14,-5423.14,1,1
1,5,3190.84,14053.27,10862.43,15183.16,18374.0,0,0,0,2,2,0,14,17,7,1,0.227037049949944,22.703704994994403,-3190.84,3190.84,1,1
8,3,1307.4,8940.73,10248.13,11593.29,12900.69,0,1,0,1,2,2,9,14,3,1,0.1462133166624356,14.62133166624356,1307.3999999999996,1307.3999999999996,1,1
11,2,5409.58,5878.21,468.6300000000001,18032.44,23442.02,0,2,1,0,3,3,19,5,2,0,0.9201202202336708,92.01202202336708,-5409.58,5409.580000000002,1,1
1,4,2258.19,14632.19,12374.0,7907.23,10165.42,0,0,0,1,3,0,14,19,2,1,0.1543197347946688,15.43197347946688,-2258.1900000000005,2258.1900000000005,1,1
1,1,7739.47,15607.63,7868.159999999999,11243.26,3503.79,0,2,1,0,3,0,7,2,5,0,0.4958455674841418,49.58455674841418,-7739.47,-7739.47,1,1
23,1,5808.58,13401.45,7592.870000000001,15643.58,9835.0,0,0,2,1,3,0,17,29,2,1,0.4333968789288525,43.33968789288525,-5808.58,-5808.58,1,1
25,1,7175.21,4270.42,-2904.79,15378.13,8202.919999999998,0,1,0,2,3,0,23,25,3,0,1.6798184210403098,167.981842104031,-7175.21,-7175.210000000001,1,1
17,4,6471.17,17065.48,10594.31,1685.39,8156.56,0,1,0,1,1,1,8,1,1,0,0.379174264406017,37.9174264406017,-6471.17,6471.17,1,1
12,1,6063.86,17383.29,11319.43,11602.18,5538.320000000001,0,0,1,2,3,2,5,8,7,0,0.3488126348559532,34.881263485595326,-6063.860000000001,-6063.86,1,1
20,3,3719.32,8913.54,12632.86,4149.88,7869.200000000001,0,1,1,2,1,0,18,12,5,0,0.4172195088024732,41.72195088024732,3719.32,3719.3200000000006,1,1
14,5,8481.22,1577.03,-6904.19,6744.57,15225.79,0,1,1,2,3,3,6,14,5,0,5.374561953828508,537.4561953828508,-8481.22,8481.220000000001,1,1
26,2,2648.31,590.66,-2057.65,722.43,3370.74,0,3,2,0,2,3,6,11,2,0,4.476067335969983,447.6067335969983,-2648.31,2648.31,1,1
20,3,9133.31,12271.45,21404.76,12845.23,21978.54,0,2,1,2,2,3,7,5,4,0,0.7442124433181637,74.42124433181637,9133.309999999998,9133.31,1,1
23,1,4008.86,2272.91,-1735.9500000000005,11069.11,7060.25,0,2,2,2,2,0,10,18,6,1,1.7629809447163698,176.29809447163697,-4008.8600000000006,-4008.8600000000006,1,1
13,1,6915.25,19641.36,12726.11,11693.76,4778.51,0,2,2,2,2,0,4,30,6,0,0.3520580011770479,35.2058001177048,-6915.25,-6915.25,1,1
25,2,3143.96,9440.65,6296.69,5449.16,8593.119999999999,0,2,0,2,3,0,0,13,6,0,0.3329884077465274,33.29884077465274,-3143.96,3143.959999999999,1,1
4,5,694.06,14718.31,14024.25,10805.87,11499.93,0,2,1,0,2,2,21,2,3,0,0.0471530255154623,4.715302551546234,-694.0599999999995,694.0599999999995,1,1
27,3,837.82,18590.98,19428.8,11657.47,12495.29,0,2,0,0,1,1,2,13,2,0,0.0450635166345919,4.506351663459191,837.8199999999997,837.8200000000015,1,1
8,3,2301.36,3799.36,6100.72,18859.56,21160.92,0,3,0,0,3,1,10,20,1,1,0.6055636834405161,60.55636834405161,2301.36,2301.359999999997,1,1
20,2,9440.31,15439.78,5999.470000000001,14819.6,24259.91,0,1,0,0,1,4,3,1,6,0,0.6113881552615865,61.13881552615865,-9440.31,9440.31,1,1
6,5,1605.92,3037.32,1431.4,16348.49,17954.41,0,1,1,0,0,2,0,15,5,0,0.528555254219437,52.8555254219437,-1605.92,1605.92,1,0
22,2,1781.73,347.37,-1434.36,6547.6,8329.33,0,3,2,2,1,0,11,25,4,1,5.114475988173494,511.4475988173494,-1781.73,1781.7299999999996,1,1
13,4,8872.72,13548.37,4675.6500000000015,1908.76,10781.48,0,2,0,2,2,1,14,24,3,1,0.6548437307417244,65.48437307417244,-8872.72,8872.72,1,1
28,5,1131.82,5109.93,3978.1100000000006,6455.46,7587.28,0,2,1,2,0,1,16,28,2,1,0.2214508905424257,22.14508905424257,-1131.8199999999997,1131.8199999999997,1,0
9,5,5472.43,769.0,-4703.43,8204.58,13677.01,0,3,0,1,3,4,5,17,6,0,7.107051948051948,710.7051948051949,-5472.43,5472.43,1,1
11,5,1471.88,14856.44,13384.56,4072.26,5544.14,0,3,0,0,1,2,21,14,1,0,0.0990668648165498,9.906686481654983,-1471.880000000001,1471.88,1,1
8,2,3722.83,16316.67,12593.84,3396.96,7119.79,0,1,1,0,0,2,20,24,6,0,0.2281471558132993,22.81471558132993,-3722.83,3722.83,1,0
19,4,3225.43,3636.76,411.3300000000004,330.64,3556.07,0,1,0,2,1,0,6,6,5,0,0.8866527753342716,88.66527753342716,-3225.43,3225.4300000000003,1,1
14,3,6331.11,5874.06,12205.17,1369.7,7700.809999999999,0,2,1,0,3,1,7,7,6,0,1.0776247391516,107.76247391516,6331.11,6331.109999999999,1,1
15,1,2360.66,13315.44,10954.78,10812.33,8451.67,0,2,0,0,2,1,19,7,3,0,0.1772741062926728,17.72741062926728,-2360.66,-2360.66,1,1
19,4,4826.88,15101.86,10274.98,19795.78,24622.66,0,3,1,0,1,1,1,15,3,0,0.3196003935678408,31.96003935678408,-4826.880000000001,4826.880000000001,1,1
28,2,3694.69,14158.44,10463.75,5178.42,8873.11,0,2,0,1,2,1,2,2,5,0,0.2609347544818156,26.093475448181565,-3694.690000000001,3694.690000000001,1,1
27,4,8100.66,8579.55,478.8899999999994,11024.95,19125.61,0,0,2,1,0,3,5,23,1,0,0.9440723496745548,94.40723496745548,-8100.66,8100.66,1,0
29,2,5371.85,14284.66,8912.81,17786.06,23157.910000000003,0,2,0,0,3,4,12,9,3,1,0.3760309289175299,37.60309289175299,-5371.85,5371.850000000002,1,1
30,1,789.51,7920.37,7130.86,12533.37,11743.86,0,3,0,2,1,0,8,8,4,0,0.099668365446886,9.966836544688608,-789.5100000000002,-789.5100000000002,1,1
11,1,7933.44,14452.4,6518.96,1700.31,-6233.129999999999,0,2,2,0,2,4,6,15,5,0,0.5488978371870978,54.889783718709786,-7933.44,-7933.439999999999,1,1
18,4,8755.15,14288.83,5533.68,17700.16,26455.31,0,3,1,1,1,4,14,21,1,1,0.6126839857437072,61.26839857437072,-8755.15,8755.150000000001,1,1
28,2,1796.84,7299.06,5502.22,9450.77,11247.61,0,2,2,1,1,1,11,13,4,1,0.246140442681293,24.6140442681293,-1796.84,1796.84,1,1
29,5,3714.42,18717.89,15003.47,3229.64,6944.06,0,2,2,1,1,1,16,9,6,1,0.1984316377733936,19.843163777339363,-3714.42,3714.420000000001,1,1
25,1,4055.82,1168.11,-2887.71,19516.01,15460.19,0,2,0,0,0,0,22,27,5,0,3.4691517479108045,346.91517479108046,-4055.82,-4055.819999999998,1,0
13,5,4613.83,4838.14,224.3100000000004,17531.76,22145.59,0,3,2,1,2,2,14,6,5,1,0.9534400740627466,95.34400740627466,-4613.83,4613.830000000002,1,1
21,3,1587.44,11970.63,13558.07,16386.52,17973.96,0,3,0,2,3,1,6,14,7,0,0.1326001555343758,13.260015553437588,1587.4400000000005,1587.4399999999987,1,1
