Type,Amount,oldBal,newBal,oldBalDest,newBalDest,isFraud,DeviceType,Browser,Geolocation,Hour,Day,Month,IsBusinessHours,NormalizedAmount,AmountPercentage,OriginBalanceChange,DestBalanceChange,BalanceDifference,IsCommonDevice,IsCommonBrowser
4,2083.87,12947.03,10863.16,11246.92,13330.79,0,0,1,0,3,14,2,0,0.16094108524617257,16.094108524617255,-2083.870000000001,2083.870000000001,4167.740000000002,1,1
3,8097.57,18554.97,26652.54,18471.11,26568.68,1,1,1,1,5,21,5,0,0.436386241193535,43.638624119353494,8097.57,8097.57,0.0,1,1
2,5473.08,12843.74,7370.66,15628.02,21101.1,0,1,1,4,2,7,7,0,0.4260950396816129,42.60950396816129,-5473.08,5473.079999999998,10946.159999999998,1,1
1,1367.83,10683.2,9315.37,9429.42,8061.59,1,2,0,4,20,27,2,0,0.12802362366859474,12.802362366859473,-1367.83,-1367.83,0.0,1,1
3,1865.91,262.84,2128.75,9794.95,11660.86,0,1,1,1,8,19,2,0,7.072127046694968,707.2127046694968,1865.91,1865.9099999999999,2.2737367544323206e-13,1,1
2,6272.14,19435.15,13163.010000000002,3837.86,10110.0,0,0,0,3,17,26,6,1,0.3227048566717174,32.27048566717174,-6272.139999999999,6272.139999999999,12544.279999999999,1,1
1,7099.98,11248.33,4148.35,10506.38,3406.4,1,0,2,0,20,2,7,0,0.6311469216388886,63.11469216388886,-7099.98,-7099.98,0.0,1,0
4,8225.25,12927.83,4702.58,16725.79,24951.04,0,1,3,4,23,6,6,0,0.6361944584312733,63.61944584312733,-8225.25,8225.25,16450.5,1,1
5,2131.12,4019.94,1888.82,16625.09,18756.21,0,1,3,2,16,30,6,1,0.5300054216178306,53.00054216178306,-2131.12,2131.119999999999,4262.239999999999,1,1
1,5186.1,16057.48,10871.38,3029.87,-2156.2300000000005,1,0,1,1,4,28,4,0,0.32295086458992384,32.29508645899239,-5186.1,-5186.1,0.0,1,1
5,7040.78,7272.35,231.57000000000065,12123.65,19164.43,0,1,2,4,11,8,2,1,0.9680243629139255,96.80243629139255,-7040.78,7040.780000000001,14081.560000000001,1,0
5,9439.1,7959.47,-1479.63,9639.74,19078.84,0,2,3,1,10,25,2,1,1.1857465702401995,118.57465702401994,-9439.1,9439.1,18878.2,1,1
4,8781.7,2463.73,-6317.970000000001,13721.78,22503.480000000003,0,0,1,1,12,2,3,1,3.5629460427714195,356.29460427714196,-8781.7,8781.700000000003,17563.4,1,1
3,7453.18,7953.09,15406.27,6881.26,14334.44,1,1,1,1,14,22,1,1,0.9370248513657754,93.70248513657754,7453.18,7453.18,0.0,1,1
2,5740.51,12046.37,6305.860000000001,19308.52,25049.03,0,1,3,3,18,4,2,0,0.476494869834661,47.6494869834661,-5740.51,5740.509999999998,11481.019999999999,1,1
1,5237.85,8913.13,3675.279999999999,8742.77,3504.92,1,0,0,1,2,28,5,0,0.5875895909079182,58.75895909079182,-5237.85,-5237.85,0.0,1,1
4,5776.13,1701.37,-4074.76,18192.19,23968.32,0,0,0,4,15,13,2,1,3.3929932975792574,339.29932975792576,-5776.13,5776.130000000001,11552.260000000002,1,1
2,9158.23,1959.41,-7198.82,13708.39,22866.62,0,1,0,0,10,22,5,1,4.671589106360404,467.1589106360404,-9158.23,9158.23,18316.46,1,1
4,402.17,18712.59,18310.42,439.47,841.6400000000001,0,0,0,4,16,23,2,1,0.02149079893275422,2.149079893275422,-402.1700000000019,402.1700000000001,804.340000000002,1,1
2,884.93,9997.36,9112.43,9410.28,10295.21,0,1,3,1,5,30,6,0,0.08850751523249811,8.850751523249812,-884.9300000000003,884.9299999999985,1769.8599999999988,1,1
2,3339.93,2258.89,-1081.04,17855.09,21195.02,0,1,1,4,16,2,3,1,1.4779170667598867,147.79170667598868,-3339.93,3339.9300000000003,6679.860000000001,1,1
4,2406.96,1425.67,-981.29,17876.58,20283.54,0,1,3,2,9,20,1,1,1.68711755346366,168.711755346366,-2406.96,2406.959999999999,4813.919999999999,1,1
5,1505.25,6809.49,5304.24,7743.51,9248.76,0,0,0,3,9,30,4,1,0.22101933928395756,22.101933928395756,-1505.25,1505.25,3010.5,1,1
1,4613.1,13192.11,8579.01,9505.42,4892.32,1,0,2,4,2,23,6,0,0.34965978453905106,34.96597845390511,-4613.1,-4613.1,0.0,1,0
1,331.78,13934.9,13603.12,7097.05,6765.27,0,0,3,2,1,27,5,0,0.023807576116361338,2.3807576116361338,-331.77999999999884,-331.77999999999975,9.094947017729282e-13,1,1
4,9399.82,10235.77,835.9500000000007,19461.64,28861.46,0,2,0,1,17,1,1,1,0.9182408122874696,91.82408122874696,-9399.82,9399.82,18799.64,1,1
3,1969.56,396.44,2366.0,10082.04,12051.6,0,2,0,0,22,17,4,0,4.955615942028985,495.56159420289856,1969.56,1969.5599999999995,4.547473508864641e-13,1,1
3,3020.44,17785.74,20806.18,10607.47,13627.91,0,0,1,4,7,16,1,0,0.1698141424454397,16.98141424454397,3020.4399999999987,3020.4400000000005,1.8189894035458565e-12,1,1
4,4547.78,10927.75,6379.97,6771.0,11318.78,0,1,2,2,0,19,6,0,0.4161299325174425,41.61299325174425,-4547.78,4547.780000000001,9095.560000000001,1,0
1,4049.94,5405.64,1355.7000000000005,16267.45,12217.51,0,2,1,3,0,24,4,0,0.749067812911531,74.9067812911531,-4049.9399999999996,-4049.9400000000005,9.094947017729282e-13,1,1
3,9668.29,13745.6,23413.89,11644.81,21313.1,1,1,0,2,9,17,3,1,0.7033222760537151,70.33222760537151,9668.289999999999,9668.289999999999,0.0,1,1
4,9245.27,2792.41,-6452.860000000001,11367.5,20612.77,0,2,2,1,22,26,4,0,3.3096716915884175,330.9671691588417,-9245.27,9245.27,18490.54,1,0
1,6968.39,4798.4,-2169.9900000000007,10770.65,3802.2599999999993,1,2,1,4,19,31,3,0,1.4519294078426472,145.19294078426472,-6968.39,-6968.39,0.0,1,1
