Step,Type,Amount,nameOrig,oldBal,newBal,nameDest,oldBalDest,newBalDest,isFraud,isFlaggedFraud,TransactionId,Timestamp,Payment Method,Status,UserId,LoginTime,DeviceType,Browser,Geolocation,Activity
28,DEBIT,9662.71,f45f98be-2a31-43d2-b973-3ecddbe2ba9e,17648.49,7985.7800000000025,8348f8ee-b240-483a-b69c-f46a1da3cb5e,19629.67,29292.379999999997,0,0,5d9ab2df-1834-4e4d-8438-70d0448b26d2,2024-04-13 11:41:17.112051,Credit Card,Pending,72831811-31dd-41f1-bc65-6332a38e6e9f,2024-02-17 13:09:17.096437,Desktop,Safari,UK,Possible attorney our center suffer above.
4,CASH_OUT,1415.92,94233999-149c-4e9a-92d1-199899147253,8188.74,6772.82,a206201b-2348-4bc3-aaf4-16c76df984d4,4974.0,3558.08,0,0,653d1d78-4086-4745-8aa2-079d3bd39297,2024-06-18 12:39:18.298971,Bank Transfer,Completed,08cccc17-b29a-40a1-a2b7-3977321ab438,2024-05-05 18:11:53.459423,Desktop,Safari,US,Mr condition since war author condition score.
20,CASH_IN,3719.32,50eeb3da-64fd-4dee-9c1c-1408a49d3612,8913.54,12632.86,ef9aae34-23bb-46b8-abc6-9a8ae441e083,4149.88,7869.200000000001,0,0,f0500302-b389-4496-ae84-0b0436cfe8ec,2024-05-12 18:56:16.325130,Credit Card,Failed,ba05e977-becf-4ce6-8e86-d061e0ce267f,2024-01-11 17:23:22.472300,Tablet,Edge,CA,Former purpose appear course provide fact at.
9,DEBIT,5472.43,ec78d757-423c-41ac-af7e-f78977996cca,769.0,-4703.43,32fa1002-1915-419a-b2b1-ed07efd52aaf,8204.58,13677.01,0,0,b46936fa-0a8d-4479-88b5-9335b11e138a,2024-06-17 05:12:23.702981,Mobile Payment,Completed,6695cb9f-ef2f-4114-8e51-3cacdc6d2c59,2024-07-10 06:06:17.453482,Mobile,Safari,US,Others without government chance police maybe.
15,CASH_IN,4234.39,03cde9a5-ac18-4db8-a425-8feaa94e66a5,152.6,4386.990000000001,626f4520-f3b9-46de-909b-d07f541315e5,19795.02,24029.41,0,0,a522ac1e-f626-427d-9327-3246fa893801,2024-05-09 09:53:04.953140,Bank Transfer,Pending,0c89c3bc-639a-4161-a0d3-2668a3e5fe13,2024-01-13 15:20:31.295661,Mobile,Chrome,CA,Born middle walk else only conference east.
12,CASH_OUT,713.82,4bd2350f-2994-473e-bfbb-d679c31ae183,1315.08,601.2599999999999,77861768-de1e-482a-b310-7a34011000cc,17827.58,17113.760000000002,0,0,33c85464-abe1-4c40-85b7-c6aa773b2799,2024-03-24 00:54:55.119501,Debit Card,Failed,0637a0af-fbdf-4488-9e63-1ce8f53eee0c,2024-01-05 11:21:40.966026,Tablet,Edge,UK,Grow yourself true company type Mrs.
16,CASH_OUT,7482.52,36aba7bd-87d8-44c4-b002-09dc3586ccc3,5939.79,-1542.7300000000005,f1c182ae-4017-4bdf-950f-dea8924e8348,15546.1,8063.58,0,0,905f401d-6fdc-4085-b30e-6616db174326,2024-01-20 04:04:59.747515,Bank Transfer,Failed,847ad897-95da-44bf-aa17-9c8492d326c5,2024-07-16 08:09:34.441204,Mobile,Edge,CA,Want suffer garden easy question.
1,CASH_IN,2978.08,ec803c30-7b25-4720-873f-e641636fc8d2,11479.08,14457.16,c27c7a3e-8401-4db9-8791-45684b0eab0c,13234.73,16212.81,0,0,c3b957ad-75dd-440c-81a9-0cbcb7a67b71,2024-07-08 18:04:59.733645,Mobile Payment,Failed,15039170-2b6d-449e-bec9-8d25361bd989,2024-07-15 11:07:24.734918,Tablet,Safari,US,Republican avoid Mr read fall.
16,DEBIT,4485.36,7509ed96-229e-4959-98de-fe268febd4d4,17517.77,13032.41,71f3159c-2f70-48c2-8b69-ad85a6924a41,2355.18,6840.539999999999,0,0,d5849d89-46e1-48a8-a271-e4ea56aa4ff9,2024-01-06 14:47:10.654361,Mobile Payment,Failed,1f4c7f52-7bdb-400b-9898-41dc7d525393,2024-07-08 17:02:28.133542,Desktop,Chrome,CA,Wear firm up establish save president.
22,DEBIT,1607.82,d80bf960-3364-4ab0-91a1-2c9e065678fc,17104.44,15496.619999999999,8e584321-5f0b-4061-9799-ae7ca0eed0d6,19467.64,21075.46,0,0,1da262f9-4cf3-453e-a128-a73620cabc5a,2024-03-29 12:11:26.578807,Bank Transfer,Completed,4c60b98e-cec6-45fa-b2f6-85c898411739,2024-01-29 19:03:39.497557,Mobile,Chrome,UK,Call capital attack.
26,PAYMENT,7329.62,ccf23d87-434f-4618-9581-dd83d4a69e44,17324.03,9994.41,68fe8a68-f12e-4404-9cbb-aeab0c3d453f,9561.51,16891.13,0,0,0bb06c8f-a0cc-44fe-bead-1283ee8e429d,2024-06-20 03:14:29.455218,Credit Card,Pending,df9339ff-5357-4993-89b1-cc86ee63751e,2024-06-24 01:12:38.904431,Desktop,Firefox,US,See contain town carry.
3,DEBIT,9855.62,b1e7d65f-bbad-4dc7-8088-9aa4c228997b,3281.11,-6574.51,fc4ab92d-fae7-4504-bc92-77927f8aff1a,4046.5,13902.12,0,0,a4923e4e-7bdd-4956-afc6-8afedd9a783d,2024-05-23 10:43:15.565445,Debit Card,Pending,1a9baec2-413b-438e-a361-d51b983f6909,2024-02-12 05:38:41.041669,Desktop,Edge,DE,Market chair local beautiful enjoy likely.
15,CASH_IN,7877.91,c8c71961-0417-4c08-a14b-d4e4f1856bb1,19968.91,27846.82,3c291849-e0d4-4673-b68b-3509831ebb50,919.97,8797.88,0,0,8eac428a-6fd2-4ce3-8043-a42e9621e5af,2024-06-09 11:40:23.213010,Credit Card,Pending,8caa9bc8-08f5-4bfd-b6c9-22270309f371,2024-02-25 00:35:51.320090,Tablet,Chrome,FR,Table here television education so it she unit.
23,CASH_IN,4922.9,074d240b-5b53-4ab3-8f5a-7ff0b7e44179,467.69,5390.589999999999,acb4d09a-5758-4717-8196-b9ac9b8e1ea7,18493.13,23416.03,0,0,9c2857b7-4c49-4d41-baad-60feb4d15ce7,2024-05-20 22:33:21.896263,Credit Card,Completed,13739470-b8e7-48a8-9f17-f857bec57407,2024-06-01 11:50:34.819452,Mobile,Firefox,FR,Source child serve blood memory.
29,CASH_OUT,8388.09,6f72206d-1ad5-4985-bc89-882b0480cc5b,16049.4,7661.3099999999995,22c2e7ca-a085-4585-b391-484eb63b6992,6497.58,-1890.5100000000002,0,0,1f5aa611-b8da-43ee-83b3-cef3cf939331,2024-05-05 08:35:22.339597,Debit Card,Pending,db8aabf0-0417-4a27-a4b1-f5c4a19f359f,2024-02-29 03:11:16.004677,Mobile,Edge,DE,Democratic bad report effect agent.
10,TRANSFER,928.48,57e39df5-fb35-4d4c-a798-cab658b597f0,6459.15,5530.67,86930cf2-fd6c-44ee-91b6-1934002fb86d,18515.16,19443.64,0,0,225092de-f940-4fbb-aa7a-b25cd46325fc,2024-06-03 05:02:45.964555,Credit Card,Failed,152e4a59-5ccc-46ea-9473-1ffa0725a25e,2024-05-24 16:21:52.216038,Mobile,Firefox,CA,Culture begin attorney could north up yes.
12,TRANSFER,1644.52,42a4f45d-851d-4eb3-b6c6-5c6d86df6479,4807.04,3162.52,d7e29f17-0a15-49bc-bf30-75b465b48a2b,7506.17,9150.69,0,0,129533b5-fe1a-47c0-957c-f0d3796cef9c,2024-05-25 09:42:02.736577,Debit Card,Failed,e3b92cf8-d33b-4148-bb45-d1d881b869de,2024-07-06 21:23:18.723651,Desktop,Chrome,DE,Bank think everybody law.
28,CASH_IN,1571.07,fbea769a-591b-470c-9ac5-6a39d365b44b,10447.82,12018.89,2e879446-3a26-4873-8350-b26d7c12b16b,19892.63,21463.7,0,0,1d599873-81b9-4368-9946-c730cc42cadf,2024-06-30 12:55:21.610373,Bank Transfer,Completed,8850a0b9-e15a-402b-8b0c-e955e47ec0ce,2024-02-21 18:20:10.874315,Mobile,Chrome,CA,Conference eat improve support.
11,DEBIT,2925.72,881466a2-b611-4fb8-92a1-936f2ecc4d87,12179.36,9253.640000000001,5d603acb-3e41-491e-afc1-bfd7b662c7cf,10843.78,13769.5,0,0,d3192d6a-9324-4b84-9082-b8cd874ca46a,2024-01-16 05:25:32.582538,Bank Transfer,Pending,2ba980ed-4579-4107-bf86-89b418a7eefe,2024-06-26 07:07:44.167789,Tablet,Safari,CA,Recognize generation staff.
16,DEBIT,7657.64,0242b5bf-ac85-479c-8c07-ea898a2d5b60,19232.86,11575.220000000001,404e71f2-d86e-4a1a-8abc-a0f90cc2ee17,2427.03,10084.67,0,0,0c6218c4-b49f-485a-bd2a-90d06e1e5042,2024-04-26 09:54:52.072501,Mobile Payment,Completed,fa38900c-b4b1-4244-8126-ecb8a246c64a,2024-04-25 18:07:07.615776,Mobile,Chrome,US,Them range nothing apply partner.
30,PAYMENT,3649.71,a53408c2-5a87-4cdc-b5ac-ceb4f6fb166d,13846.31,10196.599999999999,286a1343-212a-4c41-962b-eaaa9a99bd31,13517.46,17167.17,0,0,782c3d22-1dd7-4146-892c-64cc46370eee,2024-02-23 02:07:05.072515,Bank Transfer,Pending,2f2cfe0e-8c17-4c5e-8fbb-2e4c8ab656e6,2024-01-03 13:14:51.531547,Desktop,Firefox,UK,Bank meeting budget than direction Republican.
26,CASH_IN,8388.71,d1371607-d67c-4b13-8da1-28bb8a43be11,6231.47,14620.18,9a2d30e8-c60a-487b-bff8-900b1d13a51e,14579.1,22967.809999999998,0,0,c90cb2bd-72dd-4ccc-82d3-02e818d3fdf7,2024-01-15 23:31:38.805697,Mobile Payment,Pending,778530e0-1506-4134-8419-b6889d6e50c6,2024-03-14 00:43:20.824295,Tablet,Safari,DE,Should live friend write.
21,CASH_IN,1815.34,c15158eb-3d01-44ba-8197-454928281c3d,18290.83,20106.170000000002,1812951b-527f-4e60-afd5-26341852083c,12096.74,13912.08,0,0,a5dbfa37-cd09-431a-8800-a9fab4fed517,2024-06-16 14:03:10.835645,Bank Transfer,Pending,bbcde277-0257-4b80-a0ef-8fe75feea55e,2024-05-05 23:10:26.997421,Mobile,Firefox,US,Tend somebody president.
3,TRANSFER,765.06,cb299492-5353-44e0-9d10-aa3904c5e8e1,13257.56,12492.5,b3160d5b-7155-4e87-991c-b66727febb99,9600.45,10365.51,0,0,0e8a3d8a-fb41-4b98-b56d-aeabe2efc543,2024-01-23 21:35:43.806210,Debit Card,Failed,28920767-a1b9-408a-966f-5c21c517c855,2024-03-06 15:08:54.568018,Desktop,Safari,FR,Fact world then thought young involve.
15,DEBIT,6492.41,8165c101-db25-4884-84a7-f0b7ed326838,11541.94,5049.530000000001,f211dfed-a287-4cc2-839b-503920d1afc3,3872.92,10365.33,0,0,0069805c-1cba-4fa4-8806-50ecff36f8f1,2024-03-05 23:21:13.532451,Mobile Payment,Failed,626bee21-810b-4049-ad4a-404555d9c9a1,2024-05-28 08:34:17.842469,Desktop,Firefox,UK,Dinner speak loss new store.
27,DEBIT,4298.48,51eff8e8-1184-40e7-bca8-a00ee2b63724,19432.74,15134.260000000002,e5a8a341-db60-401b-a4bb-8bd98b8e1674,19869.81,24168.29,0,0,cee35b62-d11b-4be4-b869-b732b63c60c5,2024-01-17 11:36:03.560503,Mobile Payment,Pending,1683db7e-9e92-4b6c-89fa-8e8b83934932,2024-02-01 12:04:29.692861,Mobile,Chrome,UK,Improve staff computer owner.
1,TRANSFER,5595.37,f9183f8a-1751-462d-a1f4-363524bd52be,13521.15,7925.78,246f6323-9886-4c8e-a85d-cec57b447562,11272.74,16868.11,0,0,98ca53ad-db12-4011-b0c7-5285a810e00a,2024-06-04 03:03:19.602591,Debit Card,Failed,b155de2a-ad56-4cb4-a24b-266f387e8f5e,2024-04-05 19:19:26.167166,Mobile,Edge,DE,Whatever should reason director.
25,PAYMENT,2090.74,986347ea-2987-4c60-b7b5-c2d237833e6a,15660.46,13569.72,37bad612-adfe-409a-bd94-62a67f31097e,6019.45,8110.19,0,0,3ff7d964-08fb-48ef-8068-6eb3ab7f5810,2024-03-07 17:32:49.413515,Credit Card,Pending,6293ea64-c958-46ba-b0fc-16ccde69b871,2024-05-07 07:01:42.816782,Mobile,Edge,US,Skill culture question live best I staff dog.
